kategori,meta,title,img,desc
magang,MAGANG,Sertifikat Magang CV. Rosin,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1R_KJmzdNuyL4dychB-tGydD6q6NwB1T0,📌 Sertifikat magang pemrograman dan pengembangan sistem di CV. Rosin
wmk,WMK,Sertifikat WMK,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1-1WTtI-Da-LIQTW0jZGuhIotpY9BBfEf,📌 Kelulusan program Wirausaha Merdeka (WMK) berbasis proyek bisnis
wmk,WMK,Penilaian WMK,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1PioHKd956gM32moBr-aKYzZR_vAr55bO,📌 Laporan nilai dan evaluasi kinerja program Wirausaha Merdeka (WMK)
wmk,WMK,Surat Pencatatan Hak Cipta Afarma Aromatics,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1PBNpUIdbG3axWpeCWzHkyu5UDYuo-NbB,📌 Sertifikat Hak Cipta resmi untuk produk inovasi Afarma Aromatics
wmk,WMK,Peserta Seminar Akselerasi Digital 2023,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1lBg6hsciH1tvcPRW3cSuuyynXU8K1PEs,📌 Seminar strategi digitalisasi bisnis dan akselerasi teknologi
wmk,WMK,Pitching Wirausaha Merdeka UMS Angkatan II,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1IYHZV80YBOzQDiMcHC4BaX4A6O5ujmU5,📌 Presentasi ide bisnis kreatif program Wirausaha Merdeka UMS
freecodecamp,FREECODECAMP,Responsive Web Design,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1JDb447Essa6ikSEtLimwjg2ZrNKl8dS-,"📌 Pelatihan pengembangan web responsif: HTML, CSS, Flexbox, dan Grid (300+ jam)"
solo-learn,SOLO LEARN,Coding for Data,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1hQOZDqMp5QRGpziVZ9GOYCo59pRq-48o,📌 Pembelajaran dasar logika pemrograman dan analisis data
solo-learn,SOLO LEARN,Coding Foundations,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1pVrGsxFGpFcrIQJR-30_YvIBEh7vouMZ,"📌 Dasar pemrograman: variabel, tipe data, logika, dan kontrol alur"
solo-learn,SOLO LEARN,HTML,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1Nx2qrO7sFgvcs2R56xAZgjk790WoTufl,📌 Pembelajaran dasar struktur halaman web semantik dengan HTML
solo-learn,SOLO LEARN,Introduction to CSS,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1XJZ7_HCAqDS3Y04bgG9YKay-9hzt8lL8,"📌 Dasar styling web: warna, font, tata letak, dan desain halaman"
solo-learn,SOLO LEARN,Introduction to HTML,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1wFHk4KNFdfOeWjX7sfZaNTIAmbpNDT5c,📌 Pengenalan elemen dan tag dasar untuk membangun dokumen HTML
solo-learn,SOLO LEARN,Introduction to JavaScript,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1JGGHKCRdyn7yVblpEC2cHB6vh-BWKOas,📌 Pengenalan interaktivitas web dasar dengan logika JavaScript
solo-learn,SOLO LEARN,Introduction to Python,https://images.weserv.nl/?url=https://lh3.googleusercontent.com/d/1fEj5ZDLGkzoELjfvnMdpTndkrAzJqrI4,"📌 Pengenalan pemrograman Python: sintaks, variabel, dan logika dasar"
